,School,Date
6,Milton,2025-08-23
14,MtHoreb,2025-08-23
15,Sun P East ,2025-08-25
16,Oregon,2025-08-25
18,Lodi,2025-08-25
19,Beaver Dam,2025-08-25
20,Middleton,2025-08-25
21,Milton,2025-08-25
22,Reedsburg,2025-08-25
23,Stoughton,2025-08-25
24,Sauk Pr,2025-08-25
25,Monona Grove,2025-08-25
26,Sun P West,2025-08-25
27,Portage,2025-08-25
28,Waunakee,2025-08-25
29,MtHoreb,2025-08-25
30,Sun P East ,2025-08-26
31,Oregon,2025-08-26
33,Lodi,2025-08-26
34,Beaver Dam,2025-08-26
35,Middleton,2025-08-26
36,Milton,2025-08-26
37,Reedsburg,2025-08-26
38,Stoughton,2025-08-26
39,Sauk Pr,2025-08-26
40,Monona Grove,2025-08-26
41,Sun P West,2025-08-26
42,Portage,2025-08-26
43,Waunakee,2025-08-26
44,MtHoreb,2025-08-26
48,Lodi,2025-08-27
50,Middleton,2025-08-27
51,Milton,2025-08-27
53,Stoughton,2025-08-27
54,Sauk Pr,2025-08-27
56,Sun P West,2025-08-27
59,MtHoreb,2025-08-27
65,Middleton,2025-08-28
66,Milton,2025-08-28
69,Sauk Pr,2025-08-28
71,Sun P West,2025-08-28
73,Waunakee,2025-08-28
74,MtHoreb,2025-08-28
90,Sun P East ,2025-09-02
91,Oregon,2025-09-02
92,Verona,2025-09-02
93,Lodi,2025-09-02
94,Beaver Dam,2025-09-02
95,Middleton,2025-09-02
96,Milton,2025-09-02
97,Reedsburg,2025-09-02
98,Stoughton,2025-09-02
100,Monona Grove,2025-09-02
101,Sun P West,2025-09-02
103,Waunakee,2025-09-02
104,MtHoreb,2025-09-02
107,Verona,2025-09-03
108,Lodi,2025-09-03
110,Middleton,2025-09-03
111,Milton,2025-09-03
113,Stoughton,2025-09-03
114,Sauk Pr,2025-09-03
116,Sun P West,2025-09-03
119,MtHoreb,2025-09-03
125,Middleton,2025-09-04
126,Milton,2025-09-04
129,Sauk Pr,2025-09-04
131,Sun P West,2025-09-04
133,Waunakee,2025-09-04
134,MtHoreb,2025-09-04
135,Sun P East ,2025-09-08
136,Oregon,2025-09-08
137,Verona,2025-09-08
138,Lodi,2025-09-08
139,Beaver Dam,2025-09-08
140,Middleton,2025-09-08
141,Milton,2025-09-08
142,Reedsburg,2025-09-08
143,Stoughton,2025-09-08
144,Sauk Pr,2025-09-08
145,Monona Grove,2025-09-08
146,Sun P West,2025-09-08
148,Waunakee,2025-09-08
149,MtHoreb,2025-09-08
150,Sun P East ,2025-09-09
151,Oregon,2025-09-09
152,Verona,2025-09-09
153,Lodi,2025-09-09
154,Beaver Dam,2025-09-09
155,Middleton,2025-09-09
156,Milton,2025-09-09
157,Reedsburg,2025-09-09
158,Stoughton,2025-09-09
159,Sauk Pr,2025-09-09
160,Monona Grove,2025-09-09
161,Sun P West,2025-09-09
162,Portage,2025-09-09
163,Waunakee,2025-09-09
164,MtHoreb,2025-09-09
168,Lodi,2025-09-10
170,Middleton,2025-09-10
171,Milton,2025-09-10
173,Stoughton,2025-09-10
174,Sauk Pr,2025-09-10
176,Sun P West,2025-09-10
179,MtHoreb,2025-09-10
185,Middleton,2025-09-11
186,Milton,2025-09-11
189,Sauk Pr,2025-09-11
191,Sun P West,2025-09-11
193,Waunakee,2025-09-11
194,MtHoreb,2025-09-11
195,Sun P East ,2025-09-15
196,Oregon,2025-09-15
197,Verona,2025-09-15
200,Middleton,2025-09-15
201,Milton,2025-09-15
202,Reedsburg,2025-09-15
203,Stoughton,2025-09-15
204,Sauk Pr,2025-09-15
205,Monona Grove,2025-09-15
206,Sun P West,2025-09-15
208,Waunakee,2025-09-15
209,MtHoreb,2025-09-15
210,Sun P East ,2025-09-16
211,Oregon,2025-09-16
212,Verona,2025-09-16
214,Beaver Dam,2025-09-16
215,Middleton,2025-09-16
216,Milton,2025-09-16
217,Reedsburg,2025-09-16
218,Stoughton,2025-09-16
219,Sauk Pr,2025-09-16
220,Monona Grove,2025-09-16
221,Sun P West,2025-09-16
222,Portage,2025-09-16
223,Waunakee,2025-09-16
224,MtHoreb,2025-09-16
230,Middleton,2025-09-17
231,Milton,2025-09-17
233,Stoughton,2025-09-17
234,Sauk Pr,2025-09-17
236,Sun P West,2025-09-17
239,MtHoreb,2025-09-17
245,Middleton,2025-09-18
246,Milton,2025-09-18
249,Sauk Pr,2025-09-18
251,Sun P West,2025-09-18
253,Waunakee,2025-09-18
254,MtHoreb,2025-09-18
255,Sun P East ,2025-09-22
256,Oregon,2025-09-22
257,Verona,2025-09-22
258,Lodi,2025-09-22
259,Beaver Dam,2025-09-22
260,Middleton,2025-09-22
261,Milton,2025-09-22
262,Reedsburg,2025-09-22
263,Stoughton,2025-09-22
264,Sauk Pr,2025-09-22
265,Monona Grove,2025-09-22
266,Sun P West,2025-09-22
268,Waunakee,2025-09-22
269,MtHoreb,2025-09-22
270,Sun P East ,2025-09-23
271,Oregon,2025-09-23
272,Verona,2025-09-23
273,Lodi,2025-09-23
274,Beaver Dam,2025-09-23
275,Middleton,2025-09-23
276,Milton,2025-09-23
277,Reedsburg,2025-09-23
278,Stoughton,2025-09-23
279,Sauk Pr,2025-09-23
280,Monona Grove,2025-09-23
281,Sun P West,2025-09-23
282,Portage,2025-09-23
283,Waunakee,2025-09-23
284,MtHoreb,2025-09-23
288,Lodi,2025-09-24
290,Middleton,2025-09-24
291,Milton,2025-09-24
293,Stoughton,2025-09-24
294,Sauk Pr,2025-09-24
296,Sun P West,2025-09-24
299,MtHoreb,2025-09-24
305,Middleton,2025-09-25
306,Milton,2025-09-25
309,Sauk Pr,2025-09-25
311,Sun P West,2025-09-25
313,Waunakee,2025-09-25
314,MtHoreb,2025-09-25
315,Sun P East ,2025-09-29
316,Oregon,2025-09-29
317,Verona,2025-09-29
320,Middleton,2025-09-29
321,Milton,2025-09-29
322,Reedsburg,2025-09-29
323,Stoughton,2025-09-29
324,Sauk Pr,2025-09-29
325,Monona Grove,2025-09-29
326,Sun P West,2025-09-29
328,Waunakee,2025-09-29
329,MtHoreb,2025-09-29
330,Sun P East ,2025-09-30
331,Oregon,2025-09-30
332,Verona,2025-09-30
334,Beaver Dam,2025-09-30
335,Middleton,2025-09-30
336,Milton,2025-09-30
337,Reedsburg,2025-09-30
338,Stoughton,2025-09-30
339,Sauk Pr,2025-09-30
340,Monona Grove,2025-09-30
341,Sun P West,2025-09-30
342,Portage,2025-09-30
343,Waunakee,2025-09-30
344,MtHoreb,2025-09-30
350,Middleton,2025-10-01
351,Milton,2025-10-01
353,Stoughton,2025-10-01
354,Sauk Pr,2025-10-01
356,Sun P West,2025-10-01
359,MtHoreb,2025-10-01
365,Middleton,2025-10-02
366,Milton,2025-10-02
369,Sauk Pr,2025-10-02
371,Sun P West,2025-10-02
373,Waunakee,2025-10-02
374,MtHoreb,2025-10-02
375,Sun P East ,2025-10-06
376,Oregon,2025-10-06
377,Verona,2025-10-06
378,Lodi,2025-10-06
380,Middleton,2025-10-06
381,Milton,2025-10-06
382,Reedsburg,2025-10-06
383,Stoughton,2025-10-06
384,Sauk Pr,2025-10-06
385,Monona Grove,2025-10-06
386,Sun P West,2025-10-06
388,Waunakee,2025-10-06
389,MtHoreb,2025-10-06
390,Sun P East ,2025-10-07
391,Oregon,2025-10-07
392,Verona,2025-10-07
393,Lodi,2025-10-07
394,Beaver Dam,2025-10-07
395,Middleton,2025-10-07
396,Milton,2025-10-07
397,Reedsburg,2025-10-07
398,Stoughton,2025-10-07
399,Sauk Pr,2025-10-07
400,Monona Grove,2025-10-07
401,Sun P West,2025-10-07
402,Portage,2025-10-07
403,Waunakee,2025-10-07
404,MtHoreb,2025-10-07
408,Lodi,2025-10-08
410,Middleton,2025-10-08
411,Milton,2025-10-08
413,Stoughton,2025-10-08
414,Sauk Pr,2025-10-08
416,Sun P West,2025-10-08
419,MtHoreb,2025-10-08
425,Middleton,2025-10-09
426,Milton,2025-10-09
429,Sauk Pr,2025-10-09
431,Sun P West,2025-10-09
433,Waunakee,2025-10-09
434,MtHoreb,2025-10-09
435,Sun P East ,2025-10-13
436,Oregon,2025-10-13
437,Verona,2025-10-13
438,Lodi,2025-10-13
440,Middleton,2025-10-13
441,Milton,2025-10-13
442,Reedsburg,2025-10-13
443,Stoughton,2025-10-13
444,Sauk Pr,2025-10-13
445,Monona Grove,2025-10-13
446,Sun P West,2025-10-13
448,Waunakee,2025-10-13
449,MtHoreb,2025-10-13
450,Sun P East ,2025-10-14
451,Oregon,2025-10-14
452,Verona,2025-10-14
453,Lodi,2025-10-14
454,Beaver Dam,2025-10-14
455,Middleton,2025-10-14
456,Milton,2025-10-14
457,Reedsburg,2025-10-14
458,Stoughton,2025-10-14
459,Sauk Pr,2025-10-14
460,Monona Grove,2025-10-14
461,Sun P West,2025-10-14
462,Portage,2025-10-14
463,Waunakee,2025-10-14
464,MtHoreb,2025-10-14
468,Lodi,2025-10-15
470,Middleton,2025-10-15
471,Milton,2025-10-15
473,Stoughton,2025-10-15
474,Sauk Pr,2025-10-15
476,Sun P West,2025-10-15
479,MtHoreb,2025-10-15
485,Middleton,2025-10-16
486,Milton,2025-10-16
489,Sauk Pr,2025-10-16
491,Sun P West,2025-10-16
493,Waunakee,2025-10-16
494,MtHoreb,2025-10-16
